Project_ID,CO2_Reduction,Energy_Output,Environmental_Risk_Index,Konteks_Lingkungan,Peringkat_Dampak,Investment_Amount,Project_Lifetime,Water_Savings,Biodiversity_Impact_Score,CROI_rendah,Efisiensi_Karbon_rendah,CROI_sedang,Efisiensi_Karbon_sedang,CROI_tinggi,Efisiensi_Karbon_tinggi,Rekomendasi_DNSH
PLTS-NTT-001,75000,25000,45,Sumba: radiasi matahari tinggi-rawan kekeringan,High: ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,1200,55,0.75,Kurang Efisien,3.75,Efisien,7.5,Efisien,âš ï¸ Perlu peningkatan dampak lingkungan
PLTM-SUMUT-001,30000,10000,60,Tapanuli: banjir musiman-debit air stabil,Medium: ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,800,40,0.3,Kurang Efisien,1.5,Efisien,3.0,Efisien,âŒ Belum memenuhi prinsip hijau
PLTS-JATIM-001,90000,30000,30,Surabaya: risiko rendah-efisiensi tinggi,High: ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,1200,70,0.9,Kurang Efisien,4.5,Efisien,9.0,Efisien,âœ… Layak sebagai proyek hijau (DNSH)
PLTM-KALB-001,35000,12000,55,Kalbar: rawan banjir-hutan lindung dekat,Medium: ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,800,45,0.35,Kurang Efisien,1.75,Efisien,3.5,Efisien,âŒ Belum memenuhi prinsip hijau
PLTS-SULS-001,60000,20000,40,Makassar: cuaca stabil-risiko sedang,High: ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,1200,60,0.6,Kurang Efisien,3.0,Efisien,6.0,Efisien,âš ï¸ Perlu peningkatan dampak lingkungan
PLTM-PAPU-001,40000,15000,70,Papua: gempa tinggi-akses sulit,Medium: ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,800,30,0.4,Kurang Efisien,2.0,Efisien,4.0,Efisien,âŒ Belum memenuhi prinsip hijau
PLTS-NTB-001,80000,28000,35,Lombok: risiko rendah-pariwisata hijau,High: ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,1200,65,0.8,Kurang Efisien,4.0,Efisien,8.0,Efisien,âš ï¸ Perlu peningkatan dampak lingkungan
PLTM-ACHD-001,32000,11000,65,Aceh: banjir musiman-sungai kuat,Medium: ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,800,35,0.32,Kurang Efisien,1.6,Efisien,3.2,Efisien,âŒ Belum memenuhi prinsip hijau
PLTS-JABW-001,95000,32000,25,Bandung: cuaca ideal-risiko minimal,High: ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,1200,75,0.95,Kurang Efisien,4.75,Efisien,9.5,Efisien,âœ… Layak sebagai proyek hijau (DNSH)
PLTM-SULU-001,36000,13000,50,Sulut: gempa sedang-debit air baik,Medium: ğŸŒ¿ğŸŒ¿ğŸŒ¿,100000000000,10,800,50,0.36,Kurang Efisien,1.8,Efisien,3.6,Efisien,âš ï¸ Perlu peningkatan dampak lingkungan
